Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200305,S92000003,Total,d,45 to 64,"",1,7,0.4682430850530118,0,0,0,507,33.91417773169671
20200305,S92000003,Total,d,60+,"",0,1,0.0709900053171514,0,0,0,337,23.92363179188002
20200305,S92000003,Total,d,65 to 74,"",0,1,0.170571910558913,0,0,0,149,25.415214673278033
20200305,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,49,14.34821057316709
20200305,S92000003,Total,d,85plus,"",0,0,0,0,0,0,20,15.587128149574081
20200305,S92000003,Total,d,Total,d,2,16,0.29271862422246614,0,0,0,1655,30.278082693011342
20200306,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,161,38.41482764626863
20200306,S92000003,Female,"",0 to 59,"",3,7,0.3433659972501289,0,0,0,729,35.75911599933485
20200306,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,23,16.677180541355785
20200306,S92000003,Female,"",20 to 24,"",1,2,1.187274788813497,0,0,0,77,45.71007936931964
20200306,S92000003,Female,"",25 to 44,"",1,3,0.41501582593682906,0,0,0,250,34.584652161402424
20200306,S92000003,Female,"",45 to 64,"",1,2,0.2590103215613142,0,0,0,283,36.64996050092596
20200306,S92000003,Female,"",60+,"",0,1,0.13120828396621648,0,0,0,191,25.06078223754735
20200306,S92000003,Female,"",65 to 74,"",0,1,0.32698545568693105,0,0,0,81,26.485821910641413
20200306,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,28,14.581055043482788
20200306,S92000003,Female,"",85plus,"",0,0,0,0,0,0,17,20.62481043372763
20200306,S92000003,Female,"",Total,d,3,8,0.28563390017380824,0,0,0,920,32.84789851998794
20200306,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,199,45.15738141648948
20200306,S92000003,Male,"",0 to 59,"",2,13,0.6439756081854253,0,0,0,755,37.40012185999971
20200306,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,27,18.72308556450103
20200306,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,43,24.81217758594823
20200306,S92000003,Male,"",25 to 44,"",1,6,0.846930090155708,0,0,0,261,36.8414589217733
20200306,S92000003,Male,"",45 to 64,"",1,7,0.9684828025125211,0,0,0,286,39.56944021694015
20200306,S92000003,Male,"",60+,"",1,1,0.15467856247931175,0,0,0,193,29.852962558507166
20200306,S92000003,Male,"",65 to 74,"",1,1,0.3565837847089741,0,0,0,85,30.309621700262802
20200306,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,38,25.42214134710589
20200306,S92000003,Male,"",85plus,"",0,0,0,0,0,0,9,19.613825567711284
20200306,S92000003,Male,"",Total,d,3,14,0.5252865438096481,0,0,0,948,35.56940310939618
20200306,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,360,41.870689354377234
20200306,S92000003,Total,d,0 to 59,"",5,20,0.4929324576552534,0,0,0,1486,36.624881603785326
20200306,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,50,17.722954771019424
20200306,S92000003,Total,d,20 to 24,"",1,2,0.5852145542859651,0,0,0,121,35.405480534300885
20200306,S92000003,Total,d,25 to 44,"",2,9,0.6287967973283123,0,0,0,512,35.77155113689954
20200306,S92000003,Total,d,45 to 64,"",2,9,0.6020268236395866,0,0,0,569,38.06147362788053
20200306,S92000003,Total,d,60+,"",1,2,0.1419800106343028,0,0,0,384,27.26016204178614
20200306,S92000003,Total,d,65 to 74,"",1,2,0.341143821117826,0,0,0,166,28.314937152779557
20200306,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,66,19.32616118018424
20200306,S92000003,Total,d,85plus,"",0,0,0,0,0,0,26,20.263266594446307
20200306,S92000003,Total,d,Total,d,6,22,0.402488108305891,0,0,0,1870,34.211489206000735
20200307,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,174,41.51664602764436
20200307,S92000003,Female,"",0 to 59,"",2,9,0.44147056789302286,0,0,0,784,38.456991692014434
20200307,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,25,18.12737015364759
20200307,S92000003,Female,"",20 to 24,"",0,2,1.187274788813497,0,0,0,82,48.67826634135337
20200307,S92000003,Female,"",25 to 44,"",0,3,0.41501582593682906,0,0,0,269,37.213085725669
20200307,S92000003,Female,"",45 to 64,"",2,4,0.5180206431226284,0,0,0,305,39.49907403810042
20200307,S92000003,Female,"",60+,"",0,1,0.13120828396621648,0,0,0,208,27.291323064973028
20200307,S92000003,Female,"",65 to 74,"",0,1,0.32698545568693105,0,0,0,90,29.428691011823794
20200307,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,28,14.581055043482788
20200307,S92000003,Female,"",85plus,"",0,0,0,0,0,0,19,23.05125872004853
20200307,S92000003,Female,"",Total,d,2,10,0.3570423752172603,0,0,0,992,35.41860362155222
20200307,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,212,48.107361107013915
20200307,S92000003,Male,"",0 to 59,"",2,15,0.7430487786754908,0,0,0,801,39.67880478127121
20200307,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,27,18.72308556450103
20200307,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,45,25.966232357387682
20200307,S92000003,Male,"",25 to 44,"",2,8,1.1292401202076108,0,0,0,277,39.09993916218853
20200307,S92000003,Male,"",45 to 64,"",0,7,0.9684828025125211,0,0,0,304,42.05982456625806
20200307,S92000003,Male,"",60+,"",1,2,0.3093571249586235,0,0,0,207,32.01846243321753
20200307,S92000003,Male,"",65 to 74,"",1,2,0.7131675694179482,0,0,0,89,31.735956839098698
20200307,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,43,28.767159945409293
20200307,S92000003,Male,"",85plus,"",0,0,0,0,0,0,11,23.97245347164713
20200307,S92000003,Male,"",Total,d,3,17,0.6378479460545727,0,0,0,1008,37.82063115429467
20200307,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,386,44.8946835855267
20200307,S92000003,Total,d,0 to 59,"",4,24,0.5915189491863041,0,0,0,1587,39.11419051494436
20200307,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,52,18.4318729618602
20200307,S92000003,Total,d,20 to 24,"",0,2,0.5852145542859651,0,0,0,128,37.45373147430177
20200307,S92000003,Total,d,25 to 44,"",2,11,0.7685294189568261,0,0,0,547,38.216872015398536
20200307,S92000003,Total,d,45 to 64,"",2,11,0.7358105622261614,0,0,0,609,40.737148399612025
20200307,S92000003,Total,d,60+,"",1,3,0.2129700159514542,0,0,0,415,29.46085220661783
20200307,S92000003,Total,d,65 to 74,"",1,3,0.5117157316767389,0,0,0,179,30.532371990045423
20200307,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,71,20.79026429989517
