Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200306,S08000031,NHS Greater Glasgow and Clyde,1,3,0.25311329351017514,0.25311329351017514,0,0,0,73,478,40.32938476595457,101,1,0.9900990099009901,1.0121457489878543,101,0,,:,,:,1,0
20200306,S08000032,NHS Lanarkshire,1,2,0.30213305939935947,0.30213305939935947,0,0,0,23,188,28.40050758353979,32,1,3.125,1.1173184357541899,32,0,,:,,:,1,0
20200306,S92000003,Scotland,6,22,0.402488108305891,0.3658982802780827,0,0,0,209,1832,33.51628247347237,324,12,3.7037037037037033,2.6615969581749046,324,0,21,"",,:,12,0
20200307,S08000015,NHS Ayrshire and Arran,1,2,0.5434930297018941,0.5434930297018941,0,0,0,8,105,28.533384059349437,15,1,6.666666666666667,3.125,15,0,,:,,:,1,0
20200307,S08000016,NHS Borders,0,0,0,0,0,0,0,2,45,39.048941339812565,2,0,0,0,2,0,,:,,:,0,0
20200307,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,7,87,58.66882460044508,7,0,0,0,7,0,,:,,:,0,0
20200307,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.9806164808943222,0,0,0,11,161,52.626417807995296,26,2,7.6923076923076925,6.024096385542169,26,0,,:,,:,2,0
20200307,S08000020,NHS Grampian,1,6,1.0246776534881736,0.853898044573478,0,0,0,9,140,23.90914524805738,14,2,14.285714285714285,10.344827586206897,14,0,,:,,:,2,0
20200307,S08000022,NHS Highland,0,0,0,0,0,0,0,6,74,23.063018138752103,6,0,0,0,6,0,,:,,:,0,0
20200307,S08000024,NHS Lothian,2,5,0.5479512104242238,0.5479512104242238,0,0,0,32,369,40.43879932930771,48,4,8.333333333333332,3.3457249070631967,48,0,,:,,:,4,0
20200307,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,6,26.78571428571429,0,0,0,0,0,0,,:,,:,0,0
20200307,S08000026,NHS Shetland,0,2,8.745080891998251,,0,0,0,2,4,17.490161783996502,2,0,0,,2,0,,:,,:,0,0
20200307,S08000028,NHS Western Isles,0,0,0,,0,0,0,0,3,11.320754716981131,0,0,0,,0,0,,:,,:,0,0
20200307,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,4,104,27.797824285676104,16,1,6.25,5.714285714285714,16,0,,:,,:,1,0
20200307,S08000030,NHS Tayside,0,1,0.24006721882126994,0,0,0,0,2,151,36.25015004201176,9,0,0,4.968944099378882,9,0,,:,,:,0,0
20200307,S08000031,NHS Greater Glasgow and Clyde,0,3,0.25311329351017514,0.25311329351017514,0,0,0,28,506,42.69177550538288,45,3,6.666666666666667,1.5717092337917484,45,0,,:,,:,3,0
20200307,S08000032,NHS Lanarkshire,1,3,0.45319958909903924,0.45319958909903924,0,0,0,21,209,31.572904707233068,27,3,11.11111111111111,2.564102564102564,27,0,,:,,:,3,0
20200307,S92000003,Scotland,5,27,0.49396267837541163,0.4573728503476034,0,0,0,132,1964,35.93121112330772,217,16,7.373271889400922,3.401759530791789,217,0,10,"",,:,16,0
20200308,S08000015,NHS Ayrshire and Arran,0,2,0.5434930297018941,0.5434930297018941,0,0,0,8,113,30.707356178157013,10,0,0,3.0303030303030303,10,0,,:,,:,0,0
20200308,S08000016,NHS Borders,0,0,0,0,0,0,0,5,50,43.38771259979174,5,0,0,0,5,0,,:,,:,0,0
20200308,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,5,92,62.040596129206286,7,0,0,0,7,0,,:,,:,0,0
20200308,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.6537443205962148,0,0,0,12,173,56.54888373157258,28,4,14.285714285714285,6.914893617021277,28,0,,:,,:,4,0
