Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200408,S92000003,3,59,959,87.83040580578216,9,109,9.98280941900965,4030,369.0891922808155
20200408,S92000003,4,72,985,89.00816887153907,5,80,7.22908985758693,3991,360.64122027036797
20200408,S92000003,5,55,1021,93.50793031506952,2,74,6.77726429315881,4098,375.31390639682166
20200409,S92000003,1,82,1248,114.90517100890975,20,180,16.572861203208138,4566,420.3982458547131
20200409,S92000003,2,69,1196,110.04946705141039,16,158,14.538307520169601,4256,391.6141569989989
20200409,S92000003,3,48,1007,92.22650536644694,7,116,10.623907271606601,4198,384.47554074314235
20200409,S92000003,4,54,1039,93.88780452541025,16,96,8.674907829104315,4163,376.18376346417983
20200409,S92000003,5,49,1070,97.99557829297197,7,81,7.418356861430588,4235,387.86100380442645
20200410,S92000003,1,73,1321,121.62638694132194,20,200,18.41429022578682,4748,437.1552499601791
20200410,S92000003,2,78,1274,117.22660620693718,11,169,15.55046817030799,4435,408.0847712148872
20200410,S92000003,3,56,1063,97.35528818722256,7,123,11.265005124203551,4371,400.31981624303836
20200410,S92000003,4,64,1103,99.6710764114798,14,110,9.93999855418203,4313,389.73830694715537
20200410,S92000003,5,53,1123,102.84956488131544,5,86,7.87628012448186,4369,400.13334725420054
20200411,S92000003,1,47,1368,125.95374514438186,14,214,19.703290541591898,4883,449.58489586258514
20200411,S92000003,2,41,1315,120.99920499381662,15,184,16.930687238678523,4557,419.31055297096754
20200411,S92000003,3,29,1092,100.0112650051242,8,131,11.997688384314351,4469,409.29518617939567
20200411,S92000003,4,28,1131,102.20125786163521,8,118,10.662907539940722,4443,401.4855779657341
20200411,S92000003,5,36,1159,106.14661237528459,6,92,8.425788040143384,4454,407.91804272607214
20200412,S92000003,1,56,1424,131.10974640760216,12,226,20.808147955139106,5003,460.63346999805725
20200412,S92000003,2,52,1367,125.78396443083447,8,192,17.666804075142807,4672,429.8922324951417
20200412,S92000003,3,36,1128,103.3083396756228,18,149,13.64622571956365,4552,416.8967750030452
20200412,S92000003,4,35,1166,105.36398467432949,3,121,10.933998409600232,4520,408.4435769536615
20200412,S92000003,5,41,1200,109.90158313230502,7,99,9.066880608415163,4528,414.69530701923094
20200413,S92000003,1,79,1503,138.38339104678795,10,236,21.728862466428446,5163,475.3649021786868
20200413,S92000003,2,73,1440,132.50103056357105,10,202,18.58695012072316,4846,445.9027736882398
20200413,S92000003,3,76,1204,110.2688306466754,7,156,14.2873235721606,4714,431.7336110202889
20200413,S92000003,4,74,1240,112.05089279259742,7,128,11.566543772139088,4660,421.0944842044387
20200413,S92000003,5,54,1254,114.84715437325875,7,106,9.707973176686943,4660,426.7844811637845
20200414,S92000003,1,82,1585,145.93325003936056,12,248,22.833719879975657,5345,492.1219062841527
20200414,S92000003,2,77,1517,139.58615511453976,14,216,19.875154584535657,5017,461.63727106766385
20200414,S92000003,3,55,1259,115.30602805993715,10,166,15.2031776472991,4848,444.0060556271448
20200414,S92000003,4,69,1309,118.28598279476614,6,134,12.108725511458108,4793,433.1128460926769
20200414,S92000003,5,63,1317,120.61698748770475,9,115,10.532235050179231,4815,440.98010231837395
20200415,S92000003,1,79,1664,153.20689467854632,12,260,23.938577293522865,5547,510.7203394121974
20200415,S92000003,2,74,1591,146.3952358518344,10,226,20.795300630116014,5189,477.4637830516459
20200415,S92000003,3,62,1321,120.98432332579584,11,177,16.21061712995145,5033,460.94935601720704
20200415,S92000003,4,64,1373,124.06925468083568,7,141,12.741270873996964,4974,449.46866189546733
20200415,S92000003,5,50,1367,125.19622011821748,2,117,10.71540435539974,4982,456.27473930428636
20200416,S92000003,1,111,1775,163.42682575385803,11,271,24.95136325594114,5802,534.1985594500757
20200416,S92000003,2,91,1682,154.7685648666156,12,238,21.899475884812436,5418,498.53512749543603
20200416,S92000003,3,76,1397,127.94481429684846,4,181,16.57695876000685,5217,477.8010709997555
20200416,S92000003,4,88,1461,132.0212535241813,9,150,13.554543482975493,5170,467.17993204655534
20200416,S92000003,5,58,1425,130.5081299696122,7,124,11.35649692367152,5147,471.38620698497834
20200417,S92000003,1,92,1867,171.89739925771997,12,283,26.056220669488347,6016,553.9018499916675
20200417,S92000003,2,88,1770,162.86585006772273,8,246,22.63559272127672,5641,519.054384311878
20200417,S92000003,3,56,1453,133.07359711762405,5,186,17.034885797576102,5402,494.7443713898177
20200417,S92000003,4,98,1559,140.87688859972528,8,158,14.277452468734186,5377,485.8852020530615
20200417,S92000003,5,56,1481,135.63687051578646,5,129,11.81442018672279,5304,485.7649974447882
20200418,S92000003,1,60,1927,177.421686325456,15,298,27.43729243642236,6195,570.3826397437467
20200418,S92000003,2,64,1834,168.754784759437,9,255,23.46372416229904,5826,536.0770861551146
20200418,S92000003,3,49,1502,137.5612820858027,7,193,17.675983650173052,5533,506.74205977413203
20200418,S92000003,4,51,1610,145.48543338393696,14,172,15.5425431938119,5498,496.81920046266174
20200418,S92000003,5,40,1521,139.30025662019662,7,136,12.455512754994569,5431,497.39624832629045
20200419,S92000003,1,44,1971,181.4728301751291,18,316,29.094578556743176,6336,583.3647143529265
20200419,S92000003,2,40,1874,172.43536894175844,12,267,24.56789941699547,5967,549.0511453977975
20200419,S92000003,3,29,1531,140.21725890370433,6,199,18.22549609525615,5639,516.4501129706001
20200419,S92000003,4,23,1633,147.5637967179932,6,178,16.084724933130918,5594,505.4941082917661
20200419,S92000003,5,23,1544,141.40670363023247,4,140,12.821851365435585,5525,506.0052056716544
20200420,S92000003,1,72,2043,188.10197465641238,16,332,30.56772177480612,6563,604.2649337591945
20200420,S92000003,2,85,1959,180.25661032919146,14,281,25.85610388080796,6158,566.6259348683823
20200420,S92000003,3,52,1583,144.97970009442457,10,209,19.141350170394652,5830,533.9429258057455
20200420,S92000003,4,61,1694,153.07597773440324,10,188,16.988361165329287,5809,524.9222872840309
20200420,S92000003,5,77,1621,148.45872188122203,11,151,13.82928254414838,5738,525.5127366776385
20200421,S92000003,1,94,2137,196.75669106253216,11,343,31.580507737224398,6788,624.9810102632047
20200421,S92000003,2,86,2045,188.1698663211825,15,296,27.236322949178494,6388,587.7892939167305
20200421,S92000003,3,68,1651,151.20750780536633,6,215,19.69086261547775,6044,553.5422030137095
20200421,S92000003,4,65,1759,158.94961324369262,8,196,17.71127015108798,6010,543.0853755512181
20200421,S92000003,5,86,1707,156.3350020057039,11,162,14.836713722861177,5933,543.371743936638
20200422,S92000003,1,81,2218,204.2144786039758,11,354,32.59329369964267,7039,648.0909444965671
20200422,S92000003,2,72,2117,194.79491784936104,6,302,27.788410576526704,6592,606.56027324656975
20200422,S92000003,3,61,1712,156.7942176637112,10,225,20.606716690616253,6258,573.1414802216733
