Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,PositivePillar1,PositivePillar2
20200303,S12000008,East Ayrshire,0,0,0,,0,0,0,5,19,15.625,5,0,0,,5,0,0,0
20200303,S12000010,East Lothian,0,0,0,,0,0,0,3,22,20.389249304911957,3,0,0,,3,0,0,0
20200303,S12000011,East Renfrewshire,0,0,0,,0,0,0,1,11,11.45117634811576,2,0,0,,2,0,0,0
20200303,S12000013,Na h-Eileanan Siar,0,0,0,,0,0,0,1,1,3.7735849056603774,1,0,0,,1,0,0,0
20200303,S12000014,Falkirk,0,0,0,,0,0,0,12,50,31.14100647732935,20,0,0,,20,0,0,0
20200303,S12000017,Highland,0,0,0,,0,0,0,3,33,14.016905237225501,4,0,0,,4,0,0,0
20200303,S12000018,Inverclyde,0,0,0,,0,0,0,3,18,23.358422008824295,3,0,0,,3,0,0,0
20200303,S12000019,Midlothian,0,0,0,,0,0,0,12,30,32.2061191626409,12,0,0,,12,0,0,0
20200303,S12000020,Moray,0,1,1.0448229025180231,,0,0,0,1,16,16.71716644028837,1,0,0,,1,0,0,0
20200303,S12000021,North Ayrshire,0,1,0.74487895716946,,0,0,0,4,27,20.11173184357542,6,0,0,,6,0,0,0
20200303,S12000023,Orkney Islands,0,0,0,,0,0,0,1,6,26.78571428571429,1,0,0,,1,0,0,0
20200303,S12000026,Scottish Borders,0,0,0,,0,0,0,2,34,29.50364456785838,2,0,0,,2,0,0,0
20200303,S12000028,South Ayrshire,0,0,0,,0,0,0,7,15,13.37613697164259,7,0,0,,7,0,0,0
20200303,S12000029,South Lanarkshire,0,0,0,,0,0,0,20,63,19.63717972694969,21,0,0,,21,0,0,0
20200303,S12000030,Stirling,0,0,0,,0,0,0,0,32,34.01360544217687,0,0,0,,0,0,0,0
20200303,S12000033,Aberdeen City,0,0,0,,0,0,0,3,44,19.208940888850083,5,0,0,,5,0,0,0
20200303,S12000034,Aberdeenshire,1,2,0.7669299792928906,,0,0,0,6,44,16.872459544443593,8,1,12.5,,8,0,1,0
20200303,S12000035,Argyll and Bute,0,0,0,,0,0,0,6,9,10.534940887276132,6,0,0,,6,0,0,0
20200303,S12000036,City of Edinburgh,0,0,0,,0,0,0,20,173,32.78874947879156,22,0,0,,22,0,0,0
20200303,S12000038,Renfrewshire,0,0,0,,0,0,0,2,36,20.06800825018117,3,0,0,,3,0,0,0
20200303,S12000039,West Dunbartonshire,1,1,1.1319900384876613,,0,0,0,6,23,26.03577088521621,12,2,16.666666666666664,,12,0,2,0
20200303,S12000040,West Lothian,0,0,0,,0,0,0,9,35,19.04036557501904,10,0,0,,10,0,0,0
20200303,S12000041,Angus,0,1,0.8634087376964255,,0,0,0,2,36,31.082714557071316,9,2,22.22222222222222,,9,0,2,0
20200303,S12000042,Dundee City,0,0,0,,0,0,0,7,29,19.486628141378844,13,0,0,,13,0,0,0
20200303,S12000045,East Dunbartonshire,0,0,0,,0,0,0,3,26,23.908045977011493,4,0,0,,4,0,0,0
20200303,S12000047,Fife,0,0,0,,0,0,0,11,84,22.452088846123004,13,0,0,,13,0,0,0
20200303,S12000048,Perth and Kinross,0,0,0,,0,0,0,8,36,23.69824238035679,13,0,0,,13,0,0,0
20200303,S12000049,Glasgow City,0,0,0,,0,0,0,39,163,25.643445975709522,46,0,0,,46,0,0,0
20200303,S12000050,North Lanarkshire,0,0,0,,0,0,0,7,59,17.29495221903031,13,0,0,,13,0,0,0
20200304,S12000005,Clackmannanshire,0,2,3.8993955936829794,,0,0,0,3,23,44.84304932735426,11,2,18.181818181818183,,11,0,2,0
20200304,S12000006,Dumfries and Galloway,0,0,0,,0,0,0,9,58,39.11254973363005,11,0,0,,11,0,0,0
20200304,S12000008,East Ayrshire,0,0,0,,0,0,0,1,20,16.44736842105263,1,0,0,,1,0,0,0
20200304,S12000010,East Lothian,0,0,0,,0,0,0,5,27,25.023169601482852,5,0,0,,5,0,0,0
20200304,S12000011,East Renfrewshire,0,0,0,,0,0,0,6,17,17.697272537997087,8,0,0,,8,0,0,0
20200304,S12000013,Na h-Eileanan Siar,0,0,0,,0,0,0,1,2,7.547169811320755,1,0,0,,1,0,0,0
20200304,S12000014,Falkirk,1,1,0.6228201295465869,,0,0,0,10,60,37.36920777279522,14,2,14.285714285714285,,14,0,2,0
20200304,S12000017,Highland,0,0,0,,0,0,0,7,40,16.990188166333944,7,0,0,,7,0,0,0
20200304,S12000018,Inverclyde,0,0,0,,0,0,0,1,19,24.656112120425643,1,0,0,,1,0,0,0
20200304,S12000019,Midlothian,0,0,0,,0,0,0,1,31,33.279656468062264,2,0,0,,2,0,0,0
20200304,S12000020,Moray,1,2,2.0896458050360462,,0,0,0,1,17,17.761989342806395,2,1,50,,2,0,1,0
20200304,S12000021,North Ayrshire,0,1,0.74487895716946,,0,0,0,7,34,25.325884543761635,12,1,8.333333333333332,,12,0,1,0
20200304,S12000023,Orkney Islands,0,0,0,,0,0,0,0,6,26.78571428571429,0,0,0,,0,0,0,0
20200304,S12000026,Scottish Borders,0,0,0,,0,0,0,3,37,32.10690732384589,3,0,0,,3,0,0,0
20200304,S12000027,Shetland Islands,0,0,0,,0,0,0,1,1,4.3725404459991255,1,0,0,,1,0,0,0
20200304,S12000028,South Ayrshire,0,0,0,,0,0,0,1,16,14.267879436418763,1,0,0,,1,0,0,0
20200304,S12000029,South Lanarkshire,0,0,0,,0,0,0,11,74,23.06589364752821,13,0,0,,13,0,0,0
20200304,S12000030,Stirling,0,0,0,,0,0,0,5,37,39.328231292517,7,0,0,,7,0,0,0
20200304,S12000033,Aberdeen City,1,1,0.43656683838295646,,0,0,0,2,46,20.082074565615997,3,1,33.33333333333333,,3,0,1,0
20200304,S12000034,Aberdeenshire,0,2,0.7669299792928906,,0,0,0,2,46,17.639389523736483,2,0,0,,2,0,0,0
20200304,S12000035,Argyll and Bute,0,0,0,,0,0,0,1,10,11.705489874751258,1,0,0,,1,0,0,0
20200304,S12000036,City of Edinburgh,1,1,0.18953034380804368,,0,0,0,20,193,36.579356354952424,25,1,4,,25,0,1,0
20200304,S12000038,Renfrewshire,0,0,0,,0,0,0,7,43,23.970120965494175,10,0,0,,10,0,0,0
20200304,S12000039,West Dunbartonshire,0,1,1.1319900384876613,,0,0,0,9,32,36.22368123160516,11,0,0,,11,0,0,0
20200304,S12000040,West Lothian,0,0,0,,0,0,0,2,37,20.128386465020128,2,0,0,,2,0,0,0
20200304,S12000041,Angus,0,1,0.8634087376964255,,0,0,0,3,39,33.672940770160594,3,0,0,,3,0,0,0
20200304,S12000042,Dundee City,0,0,0,,0,0,0,3,32,21.502486224969765,6,0,0,,6,0,0,0
20200304,S12000045,East Dunbartonshire,0,0,0,,0,0,0,3,29,26.666666666666668,8,0,0,,8,0,0,0
20200304,S12000047,Fife,2,2,0.5345735439553096,,0,0,0,1,85,22.71937561810066,3,2,66.66666666666666,,3,0,2,0
20200304,S12000048,Perth and Kinross,0,0,0,,0,0,0,4,40,26.331380422618658,11,0,0,,11,0,0,0
20200304,S12000049,Glasgow City,0,0,0,,0,0,0,42,205,32.25095966270216,53,0,0,,53,0,0,0
20200304,S12000050,North Lanarkshire,0,0,0,,0,0,0,8,67,19.64003048601747,13,0,0,,13,0,0,0
20200305,S12000005,Clackmannanshire,0,2,3.8993955936829794,3.8993955936829794,0,0,0,4,27,52.64184051472022,4,0,0,12.903225806451612,4,0,0,0
20200305,S12000006,Dumfries and Galloway,0,0,0,0,0,0,0,6,64,43.1586755681435,6,0,0,0,6,0,0,0
20200305,S12000008,East Ayrshire,0,0,0,0,0,0,0,7,27,22.20394736842105,7,0,0,0,7,0,0,0
20200305,S12000010,East Lothian,0,0,0,0,0,0,0,2,29,26.876737720111215,3,0,0,0,3,0,0,0
20200305,S12000011,East Renfrewshire,0,0,0,0,0,0,0,7,24,24.984384759525295,8,0,0,0,8,0,0,0
20200305,S12000013,Na h-Eileanan Siar,0,0,0,,0,0,0,0,2,7.547169811320755,2,0,0,,2,0,0,0
20200305,S12000014,Falkirk,0,1,0.6228201295465869,0.6228201295465869,0,0,0,7,67,41.728948679621325,10,0,0,2.857142857142857,10,0,0,0
20200305,S12000017,Highland,0,0,0,0,0,0,0,6,46,19.538716391284034,7,0,0,0,7,0,0,0
20200305,S12000018,Inverclyde,0,0,0,0,0,0,0,4,23,29.846872566831042,6,0,0,0,6,0,0,0
20200305,S12000019,Midlothian,0,0,0,0,0,0,0,0,31,33.279656468062264,0,0,0,0,0,0,0,0
