areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2020-12-17,33883
K02000001,United Kingdom,overview,2020-12-16,34906
K02000001,United Kingdom,overview,2020-12-15,33841
K02000001,United Kingdom,overview,2020-12-14,34698
K02000001,United Kingdom,overview,2020-12-13,21985
K02000001,United Kingdom,overview,2020-12-12,19353
K02000001,United Kingdom,overview,2020-12-11,24058
K02000001,United Kingdom,overview,2020-12-10,22602
K02000001,United Kingdom,overview,2020-12-09,21602
K02000001,United Kingdom,overview,2020-12-08,20783
K02000001,United Kingdom,overview,2020-12-07,21320
K02000001,United Kingdom,overview,2020-12-06,13577
K02000001,United Kingdom,overview,2020-12-05,12732
K02000001,United Kingdom,overview,2020-12-04,15653
K02000001,United Kingdom,overview,2020-12-03,15631
K02000001,United Kingdom,overview,2020-12-02,16467
K02000001,United Kingdom,overview,2020-12-01,16452
K02000001,United Kingdom,overview,2020-11-30,18007
K02000001,United Kingdom,overview,2020-11-29,10681
K02000001,United Kingdom,overview,2020-11-28,10956
K02000001,United Kingdom,overview,2020-11-27,14366
K02000001,United Kingdom,overview,2020-11-26,14572
K02000001,United Kingdom,overview,2020-11-25,16610
K02000001,United Kingdom,overview,2020-11-24,16447
K02000001,United Kingdom,overview,2020-11-23,18766
K02000001,United Kingdom,overview,2020-11-22,11734
K02000001,United Kingdom,overview,2020-11-21,12349
K02000001,United Kingdom,overview,2020-11-20,16848
K02000001,United Kingdom,overview,2020-11-19,17757
K02000001,United Kingdom,overview,2020-11-18,20749
K02000001,United Kingdom,overview,2020-11-17,23157
K02000001,United Kingdom,overview,2020-11-16,26572
K02000001,United Kingdom,overview,2020-11-15,16023
K02000001,United Kingdom,overview,2020-11-14,17983
K02000001,United Kingdom,overview,2020-11-13,24032
K02000001,United Kingdom,overview,2020-11-12,24462
K02000001,United Kingdom,overview,2020-11-11,27350
K02000001,United Kingdom,overview,2020-11-10,27409
K02000001,United Kingdom,overview,2020-11-09,31042
K02000001,United Kingdom,overview,2020-11-08,19955
K02000001,United Kingdom,overview,2020-11-07,18518
K02000001,United Kingdom,overview,2020-11-06,23319
K02000001,United Kingdom,overview,2020-11-05,23737
K02000001,United Kingdom,overview,2020-11-04,23668
K02000001,United Kingdom,overview,2020-11-03,25572
K02000001,United Kingdom,overview,2020-11-02,31502
K02000001,United Kingdom,overview,2020-11-01,15750
K02000001,United Kingdom,overview,2020-10-31,16481
K02000001,United Kingdom,overview,2020-10-30,22657
K02000001,United Kingdom,overview,2020-10-29,23342
K02000001,United Kingdom,overview,2020-10-28,23608
K02000001,United Kingdom,overview,2020-10-27,24085
K02000001,United Kingdom,overview,2020-10-26,26543
K02000001,United Kingdom,overview,2020-10-25,15721
K02000001,United Kingdom,overview,2020-10-24,16226
K02000001,United Kingdom,overview,2020-10-23,21458
K02000001,United Kingdom,overview,2020-10-22,23230
K02000001,United Kingdom,overview,2020-10-21,25431
K02000001,United Kingdom,overview,2020-10-20,25317
K02000001,United Kingdom,overview,2020-10-19,25600
K02000001,United Kingdom,overview,2020-10-18,14191
K02000001,United Kingdom,overview,2020-10-17,14749
K02000001,United Kingdom,overview,2020-10-16,17715
K02000001,United Kingdom,overview,2020-10-15,18424
K02000001,United Kingdom,overview,2020-10-14,19693
K02000001,United Kingdom,overview,2020-10-13,18882
K02000001,United Kingdom,overview,2020-10-12,19426
K02000001,United Kingdom,overview,2020-10-11,12062
K02000001,United Kingdom,overview,2020-10-10,12501
K02000001,United Kingdom,overview,2020-10-09,15717
K02000001,United Kingdom,overview,2020-10-08,18230
K02000001,United Kingdom,overview,2020-10-07,18314
K02000001,United Kingdom,overview,2020-10-06,17050
K02000001,United Kingdom,overview,2020-10-05,16544
K02000001,United Kingdom,overview,2020-10-04,11799
K02000001,United Kingdom,overview,2020-10-03,11527
K02000001,United Kingdom,overview,2020-10-02,13685
K02000001,United Kingdom,overview,2020-10-01,13188
K02000001,United Kingdom,overview,2020-09-30,12554
K02000001,United Kingdom,overview,2020-09-29,10230
K02000001,United Kingdom,overview,2020-09-28,9923
K02000001,United Kingdom,overview,2020-09-27,6969
K02000001,United Kingdom,overview,2020-09-26,6749
K02000001,United Kingdom,overview,2020-09-25,7240
K02000001,United Kingdom,overview,2020-09-24,7600
K02000001,United Kingdom,overview,2020-09-23,7049
K02000001,United Kingdom,overview,2020-09-22,6398
K02000001,United Kingdom,overview,2020-09-21,5600
K02000001,United Kingdom,overview,2020-09-20,5313
K02000001,United Kingdom,overview,2020-09-19,4847
K02000001,United Kingdom,overview,2020-09-18,4955
K02000001,United Kingdom,overview,2020-09-17,4618
K02000001,United Kingdom,overview,2020-09-16,4348
K02000001,United Kingdom,overview,2020-09-15,3536
K02000001,United Kingdom,overview,2020-09-14,3383
K02000001,United Kingdom,overview,2020-09-13,2129
K02000001,United Kingdom,overview,2020-09-12,2655
K02000001,United Kingdom,overview,2020-09-11,3284
K02000001,United Kingdom,overview,2020-09-10,3578
