areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,2020-09-03,146
K02000001,United Kingdom,overview,2020-09-02,146
K02000001,United Kingdom,overview,2020-09-01,134
K02000001,United Kingdom,overview,2020-08-31,91
K02000001,United Kingdom,overview,2020-08-30,77
K02000001,United Kingdom,overview,2020-08-29,110
K02000001,United Kingdom,overview,2020-08-28,137
K02000001,United Kingdom,overview,2020-08-27,152
K02000001,United Kingdom,overview,2020-08-26,132
K02000001,United Kingdom,overview,2020-08-25,122
K02000001,United Kingdom,overview,2020-08-24,92
K02000001,United Kingdom,overview,2020-08-23,74
K02000001,United Kingdom,overview,2020-08-22,72
K02000001,United Kingdom,overview,2020-08-21,109
K02000001,United Kingdom,overview,2020-08-20,98
K02000001,United Kingdom,overview,2020-08-19,116
K02000001,United Kingdom,overview,2020-08-18,130
K02000001,United Kingdom,overview,2020-08-17,97
K02000001,United Kingdom,overview,2020-08-16,80
K02000001,United Kingdom,overview,2020-08-15,99
K02000001,United Kingdom,overview,2020-08-14,102
K02000001,United Kingdom,overview,2020-08-13,130
K02000001,United Kingdom,overview,2020-08-12,101
K02000001,United Kingdom,overview,2020-08-11,114
K02000001,United Kingdom,overview,2020-08-10,86
K02000001,United Kingdom,overview,2020-08-09,106
K02000001,United Kingdom,overview,2020-08-08,141
K02000001,United Kingdom,overview,2020-08-07,116
K02000001,United Kingdom,overview,2020-08-06,102
K02000001,United Kingdom,overview,2020-08-05,140
K02000001,United Kingdom,overview,2020-08-04,128
K02000001,United Kingdom,overview,2020-08-03,110
K02000001,United Kingdom,overview,2020-08-02,93
K02000001,United Kingdom,overview,2020-08-01,127
K02000001,United Kingdom,overview,2020-07-31,114
K02000001,United Kingdom,overview,2020-07-30,132
K02000001,United Kingdom,overview,2020-07-29,133
K02000001,United Kingdom,overview,2020-07-28,119
K02000001,United Kingdom,overview,2020-07-27,130
K02000001,United Kingdom,overview,2020-07-26,109
K02000001,United Kingdom,overview,2020-07-25,119
K02000001,United Kingdom,overview,2020-07-24,158
K02000001,United Kingdom,overview,2020-07-23,200
K02000001,United Kingdom,overview,2020-07-22,158
K02000001,United Kingdom,overview,2020-07-21,126
K02000001,United Kingdom,overview,2020-07-20,130
K02000001,United Kingdom,overview,2020-07-19,126
K02000001,United Kingdom,overview,2020-07-18,105
K02000001,United Kingdom,overview,2020-07-17,144
K02000001,United Kingdom,overview,2020-07-16,167
K02000001,United Kingdom,overview,2020-07-15,166
K02000001,United Kingdom,overview,2020-07-14,186
K02000001,United Kingdom,overview,2020-07-13,189
K02000001,United Kingdom,overview,2020-07-12,114
K02000001,United Kingdom,overview,2020-07-11,177
K02000001,United Kingdom,overview,2020-07-10,176
K02000001,United Kingdom,overview,2020-07-09,214
K02000001,United Kingdom,overview,2020-07-08,208
K02000001,United Kingdom,overview,2020-07-07,215
K02000001,United Kingdom,overview,2020-07-06,204
K02000001,United Kingdom,overview,2020-07-05,196
K02000001,United Kingdom,overview,2020-07-04,202
K02000001,United Kingdom,overview,2020-07-03,214
K02000001,United Kingdom,overview,2020-07-02,216
K02000001,United Kingdom,overview,2020-07-01,269
K02000001,United Kingdom,overview,2020-06-30,295
K02000001,United Kingdom,overview,2020-06-29,220
K02000001,United Kingdom,overview,2020-06-28,208
K02000001,United Kingdom,overview,2020-06-27,287
K02000001,United Kingdom,overview,2020-06-26,339
K02000001,United Kingdom,overview,2020-06-25,325
K02000001,United Kingdom,overview,2020-06-24,368
K02000001,United Kingdom,overview,2020-06-23,363
K02000001,United Kingdom,overview,2020-06-22,394
K02000001,United Kingdom,overview,2020-06-21,288
K02000001,United Kingdom,overview,2020-06-20,257
K02000001,United Kingdom,overview,2020-06-19,336
K02000001,United Kingdom,overview,2020-06-18,405
K02000001,United Kingdom,overview,2020-06-17,432
K02000001,United Kingdom,overview,2020-06-16,456
K02000001,United Kingdom,overview,2020-06-15,439
K02000001,United Kingdom,overview,2020-06-14,364
K02000001,United Kingdom,overview,2020-06-13,385
K02000001,United Kingdom,overview,2020-06-12,392
K02000001,United Kingdom,overview,2020-06-11,446
K02000001,United Kingdom,overview,2020-06-10,512
K02000001,United Kingdom,overview,2020-06-09,492
K02000001,United Kingdom,overview,2020-06-08,412
K02000001,United Kingdom,overview,2020-06-07,408
K02000001,United Kingdom,overview,2020-06-06,407
K02000001,United Kingdom,overview,2020-06-05,476
K02000001,United Kingdom,overview,2020-06-04,565
K02000001,United Kingdom,overview,2020-06-03,633
K02000001,United Kingdom,overview,2020-06-02,668
K02000001,United Kingdom,overview,2020-06-01,604
K02000001,United Kingdom,overview,2020-05-31,528
K02000001,United Kingdom,overview,2020-05-30,568
K02000001,United Kingdom,overview,2020-05-29,614
K02000001,United Kingdom,overview,2020-05-28,702
K02000001,United Kingdom,overview,2020-05-27,712
K02000001,United Kingdom,overview,2020-05-26,698
K02000001,United Kingdom,overview,2020-05-25,602
K02000001,United Kingdom,overview,2020-05-24,587
K02000001,United Kingdom,overview,2020-05-23,643
K02000001,United Kingdom,overview,2020-05-22,739
K02000001,United Kingdom,overview,2020-05-21,841
K02000001,United Kingdom,overview,2020-05-20,851
K02000001,United Kingdom,overview,2020-05-19,881
K02000001,United Kingdom,overview,2020-05-18,849
K02000001,United Kingdom,overview,2020-05-17,792
K02000001,United Kingdom,overview,2020-05-16,813
K02000001,United Kingdom,overview,2020-05-15,871
K02000001,United Kingdom,overview,2020-05-14,909
K02000001,United Kingdom,overview,2020-05-13,966
K02000001,United Kingdom,overview,2020-05-12,983
K02000001,United Kingdom,overview,2020-05-11,1029
K02000001,United Kingdom,overview,2020-05-10,916
K02000001,United Kingdom,overview,2020-05-09,944
K02000001,United Kingdom,overview,2020-05-08,910
K02000001,United Kingdom,overview,2020-05-07,1165
K02000001,United Kingdom,overview,2020-05-06,1206
K02000001,United Kingdom,overview,2020-05-05,1146
K02000001,United Kingdom,overview,2020-05-04,1249
K02000001,United Kingdom,overview,2020-05-03,1188
K02000001,United Kingdom,overview,2020-05-02,1180
K02000001,United Kingdom,overview,2020-05-01,1263
K02000001,United Kingdom,overview,2020-04-30,1441
K02000001,United Kingdom,overview,2020-04-29,1488
K02000001,United Kingdom,overview,2020-04-28,1518
K02000001,United Kingdom,overview,2020-04-27,1538
K02000001,United Kingdom,overview,2020-04-26,1355
K02000001,United Kingdom,overview,2020-04-25,1254
K02000001,United Kingdom,overview,2020-04-24,1526
K02000001,United Kingdom,overview,2020-04-23,1513
K02000001,United Kingdom,overview,2020-04-22,1529
K02000001,United Kingdom,overview,2020-04-21,1712
K02000001,United Kingdom,overview,2020-04-20,1734
K02000001,United Kingdom,overview,2020-04-19,1657
K02000001,United Kingdom,overview,2020-04-18,1629
K02000001,United Kingdom,overview,2020-04-17,1967
K02000001,United Kingdom,overview,2020-04-16,2011
K02000001,United Kingdom,overview,2020-04-15,1880
K02000001,United Kingdom,overview,2020-04-14,2088
K02000001,United Kingdom,overview,2020-04-13,2162
K02000001,United Kingdom,overview,2020-04-12,2066
K02000001,United Kingdom,overview,2020-04-11,2163
K02000001,United Kingdom,overview,2020-04-10,2463
K02000001,United Kingdom,overview,2020-04-09,2629
K02000001,United Kingdom,overview,2020-04-08,2967
K02000001,United Kingdom,overview,2020-04-07,3150
K02000001,United Kingdom,overview,2020-04-06,3046
K02000001,United Kingdom,overview,2020-04-05,2917
K02000001,United Kingdom,overview,2020-04-04,2921
K02000001,United Kingdom,overview,2020-04-03,2930
K02000001,United Kingdom,overview,2020-04-02,3286
K02000001,United Kingdom,overview,2020-04-01,3567
K02000001,United Kingdom,overview,2020-03-31,2832
K02000001,United Kingdom,overview,2020-03-30,3191
K02000001,United Kingdom,overview,2020-03-29,2489
K02000001,United Kingdom,overview,2020-03-28,2193
K02000001,United Kingdom,overview,2020-03-27,2227
K02000001,United Kingdom,overview,2020-03-26,1927
K02000001,United Kingdom,overview,2020-03-25,2085
K02000001,United Kingdom,overview,2020-03-24,1717
K02000001,United Kingdom,overview,2020-03-23,1273
