areaCode,areaName,areaType,date,newPillarThreeTestsByPublishDate
K02000001,United Kingdom,overview,2020-08-23,821
K02000001,United Kingdom,overview,2020-08-22,3195
K02000001,United Kingdom,overview,2020-08-21,7455
K02000001,United Kingdom,overview,2020-08-20,6590
K02000001,United Kingdom,overview,2020-08-19,5838
K02000001,United Kingdom,overview,2020-08-18,5575
K02000001,United Kingdom,overview,2020-08-17,3910
K02000001,United Kingdom,overview,2020-08-16,1132
K02000001,United Kingdom,overview,2020-08-15,2481
K02000001,United Kingdom,overview,2020-08-14,6630
K02000001,United Kingdom,overview,2020-08-13,6315
K02000001,United Kingdom,overview,2020-08-12,6054
K02000001,United Kingdom,overview,2020-08-11,5978
K02000001,United Kingdom,overview,2020-08-10,3961
K02000001,United Kingdom,overview,2020-08-09,1246
K02000001,United Kingdom,overview,2020-08-08,2598
K02000001,United Kingdom,overview,2020-08-07,5614
K02000001,United Kingdom,overview,2020-08-06,6272
K02000001,United Kingdom,overview,2020-08-05,6564
K02000001,United Kingdom,overview,2020-08-04,6350
K02000001,United Kingdom,overview,2020-08-03,4537
K02000001,United Kingdom,overview,2020-08-02,1201
K02000001,United Kingdom,overview,2020-08-01,2628
K02000001,United Kingdom,overview,2020-07-31,6893
K02000001,United Kingdom,overview,2020-07-30,7844
K02000001,United Kingdom,overview,2020-07-29,7688
K02000001,United Kingdom,overview,2020-07-28,7128
K02000001,United Kingdom,overview,2020-07-27,5281
K02000001,United Kingdom,overview,2020-07-26,1623
K02000001,United Kingdom,overview,2020-07-25,3107
K02000001,United Kingdom,overview,2020-07-24,9586
K02000001,United Kingdom,overview,2020-07-23,9698
K02000001,United Kingdom,overview,2020-07-22,9391
K02000001,United Kingdom,overview,2020-07-21,9532
K02000001,United Kingdom,overview,2020-07-20,7716
K02000001,United Kingdom,overview,2020-07-19,1720
K02000001,United Kingdom,overview,2020-07-18,3946
K02000001,United Kingdom,overview,2020-07-17,12556
K02000001,United Kingdom,overview,2020-07-16,13777
K02000001,United Kingdom,overview,2020-07-15,13532
K02000001,United Kingdom,overview,2020-07-14,13434
K02000001,United Kingdom,overview,2020-07-13,11241
K02000001,United Kingdom,overview,2020-07-12,2822
K02000001,United Kingdom,overview,2020-07-11,8148
K02000001,United Kingdom,overview,2020-07-10,18619
K02000001,United Kingdom,overview,2020-07-09,21715
K02000001,United Kingdom,overview,2020-07-08,22147
K02000001,United Kingdom,overview,2020-07-07,18050
K02000001,United Kingdom,overview,2020-07-06,15750
K02000001,United Kingdom,overview,2020-07-05,3527
K02000001,United Kingdom,overview,2020-07-04,10282
K02000001,United Kingdom,overview,2020-07-03,30553
K02000001,United Kingdom,overview,2020-07-02,27525
K02000001,United Kingdom,overview,2020-07-01,29401
K02000001,United Kingdom,overview,2020-06-30,26622
K02000001,United Kingdom,overview,2020-06-29,22559
K02000001,United Kingdom,overview,2020-06-28,5928
K02000001,United Kingdom,overview,2020-06-27,14929
K02000001,United Kingdom,overview,2020-06-26,35711
K02000001,United Kingdom,overview,2020-06-25,36438
K02000001,United Kingdom,overview,2020-06-24,36102
K02000001,United Kingdom,overview,2020-06-23,35006
K02000001,United Kingdom,overview,2020-06-22,26084
K02000001,United Kingdom,overview,2020-06-21,9902
K02000001,United Kingdom,overview,2020-06-20,20426
K02000001,United Kingdom,overview,2020-06-19,41155
K02000001,United Kingdom,overview,2020-06-18,44895
K02000001,United Kingdom,overview,2020-06-17,44082
K02000001,United Kingdom,overview,2020-06-16,39895
K02000001,United Kingdom,overview,2020-06-15,28186
K02000001,United Kingdom,overview,2020-06-14,13452
K02000001,United Kingdom,overview,2020-06-13,21337
K02000001,United Kingdom,overview,2020-06-12,46952
K02000001,United Kingdom,overview,2020-06-11,46491
K02000001,United Kingdom,overview,2020-06-10,42979
K02000001,United Kingdom,overview,2020-06-09,37147
K02000001,United Kingdom,overview,2020-06-08,27978
K02000001,United Kingdom,overview,2020-06-07,16694
K02000001,United Kingdom,overview,2020-06-06,22720
K02000001,United Kingdom,overview,2020-06-05,41619
K02000001,United Kingdom,overview,2020-06-04,42899
K02000001,United Kingdom,overview,2020-06-03,40385
K02000001,United Kingdom,overview,2020-06-02,36013
K02000001,United Kingdom,overview,2020-06-01,30357
K02000001,United Kingdom,overview,2020-05-31,23110
