areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,2020-10-10,4358
K02000001,United Kingdom,overview,2020-10-09,4170
K02000001,United Kingdom,overview,2020-10-08,4085
K02000001,United Kingdom,overview,2020-10-07,3893
K02000001,United Kingdom,overview,2020-10-06,3642
K02000001,United Kingdom,overview,2020-10-05,3370
K02000001,United Kingdom,overview,2020-10-04,3056
K02000001,United Kingdom,overview,2020-10-03,2867
K02000001,United Kingdom,overview,2020-10-02,2723
K02000001,United Kingdom,overview,2020-10-01,2592
K02000001,United Kingdom,overview,2020-09-30,2530
K02000001,United Kingdom,overview,2020-09-29,2420
K02000001,United Kingdom,overview,2020-09-28,2399
K02000001,United Kingdom,overview,2020-09-27,2188
K02000001,United Kingdom,overview,2020-09-26,2033
K02000001,United Kingdom,overview,2020-09-25,2020
K02000001,United Kingdom,overview,2020-09-24,1846
K02000001,United Kingdom,overview,2020-09-23,1730
K02000001,United Kingdom,overview,2020-09-22,1636
K02000001,United Kingdom,overview,2020-09-21,1558
K02000001,United Kingdom,overview,2020-09-20,1398
K02000001,United Kingdom,overview,2020-09-19,1300
K02000001,United Kingdom,overview,2020-09-18,1221
K02000001,United Kingdom,overview,2020-09-17,1162
K02000001,United Kingdom,overview,2020-09-16,1106
K02000001,United Kingdom,overview,2020-09-15,1066
K02000001,United Kingdom,overview,2020-09-14,982
K02000001,United Kingdom,overview,2020-09-13,843
K02000001,United Kingdom,overview,2020-09-12,812
K02000001,United Kingdom,overview,2020-09-11,770
K02000001,United Kingdom,overview,2020-09-10,944
K02000001,United Kingdom,overview,2020-09-09,924
K02000001,United Kingdom,overview,2020-09-08,894
K02000001,United Kingdom,overview,2020-09-07,902
K02000001,United Kingdom,overview,2020-09-06,817
K02000001,United Kingdom,overview,2020-09-05,812
K02000001,United Kingdom,overview,2020-09-04,818
K02000001,United Kingdom,overview,2020-09-03,817
K02000001,United Kingdom,overview,2020-09-02,803
K02000001,United Kingdom,overview,2020-09-01,861
K02000001,United Kingdom,overview,2020-08-31,854
K02000001,United Kingdom,overview,2020-08-30,831
K02000001,United Kingdom,overview,2020-08-29,833
K02000001,United Kingdom,overview,2020-08-28,818
K02000001,United Kingdom,overview,2020-08-27,840
K02000001,United Kingdom,overview,2020-08-26,829
K02000001,United Kingdom,overview,2020-08-25,844
K02000001,United Kingdom,overview,2020-08-24,876
K02000001,United Kingdom,overview,2020-08-23,870
K02000001,United Kingdom,overview,2020-08-22,943
K02000001,United Kingdom,overview,2020-08-21,888
K02000001,United Kingdom,overview,2020-08-20,909
K02000001,United Kingdom,overview,2020-08-19,924
K02000001,United Kingdom,overview,2020-08-18,953
K02000001,United Kingdom,overview,2020-08-17,982
K02000001,United Kingdom,overview,2020-08-16,979
K02000001,United Kingdom,overview,2020-08-15,974
K02000001,United Kingdom,overview,2020-08-14,995
K02000001,United Kingdom,overview,2020-08-13,1008
K02000001,United Kingdom,overview,2020-08-12,1004
K02000001,United Kingdom,overview,2020-08-11,1039
K02000001,United Kingdom,overview,2020-08-10,1087
K02000001,United Kingdom,overview,2020-08-09,983
K02000001,United Kingdom,overview,2020-08-08,1027
K02000001,United Kingdom,overview,2020-08-07,1094
K02000001,United Kingdom,overview,2020-08-06,1155
K02000001,United Kingdom,overview,2020-08-05,1200
K02000001,United Kingdom,overview,2020-08-04,1216
K02000001,United Kingdom,overview,2020-08-03,1251
K02000001,United Kingdom,overview,2020-08-02,1254
K02000001,United Kingdom,overview,2020-08-01,1290
K02000001,United Kingdom,overview,2020-07-31,1266
K02000001,United Kingdom,overview,2020-07-30,1314
K02000001,United Kingdom,overview,2020-07-29,1350
K02000001,United Kingdom,overview,2020-07-28,1369
K02000001,United Kingdom,overview,2020-07-27,1370
K02000001,United Kingdom,overview,2020-07-26,1383
K02000001,United Kingdom,overview,2020-07-25,1401
K02000001,United Kingdom,overview,2020-07-24,1453
K02000001,United Kingdom,overview,2020-07-23,1538
K02000001,United Kingdom,overview,2020-07-22,1747
K02000001,United Kingdom,overview,2020-07-21,1634
K02000001,United Kingdom,overview,2020-07-20,1734
K02000001,United Kingdom,overview,2020-07-19,1742
K02000001,United Kingdom,overview,2020-07-18,1776
K02000001,United Kingdom,overview,2020-07-17,1804
K02000001,United Kingdom,overview,2020-07-16,1829
K02000001,United Kingdom,overview,2020-07-15,1974
K02000001,United Kingdom,overview,2020-07-14,1993
K02000001,United Kingdom,overview,2020-07-13,2112
K02000001,United Kingdom,overview,2020-07-12,2100
K02000001,United Kingdom,overview,2020-07-11,2118
K02000001,United Kingdom,overview,2020-07-10,2243
K02000001,United Kingdom,overview,2020-07-09,2344
K02000001,United Kingdom,overview,2020-07-08,2454
K02000001,United Kingdom,overview,2020-07-07,2598
K02000001,United Kingdom,overview,2020-07-06,2699
K02000001,United Kingdom,overview,2020-07-05,2741
K02000001,United Kingdom,overview,2020-07-04,2802
K02000001,United Kingdom,overview,2020-07-03,2942
K02000001,United Kingdom,overview,2020-07-02,3079
K02000001,United Kingdom,overview,2020-07-01,3198
K02000001,United Kingdom,overview,2020-06-30,3383
K02000001,United Kingdom,overview,2020-06-29,3748
K02000001,United Kingdom,overview,2020-06-28,3557
K02000001,United Kingdom,overview,2020-06-27,3544
K02000001,United Kingdom,overview,2020-06-26,3620
K02000001,United Kingdom,overview,2020-06-25,3850
K02000001,United Kingdom,overview,2020-06-24,4030
K02000001,United Kingdom,overview,2020-06-23,4134
K02000001,United Kingdom,overview,2020-06-22,4281
K02000001,United Kingdom,overview,2020-06-21,4222
K02000001,United Kingdom,overview,2020-06-20,4252
K02000001,United Kingdom,overview,2020-06-19,4414
K02000001,United Kingdom,overview,2020-06-18,4560
K02000001,United Kingdom,overview,2020-06-17,4719
K02000001,United Kingdom,overview,2020-06-16,4863
K02000001,United Kingdom,overview,2020-06-15,4870
K02000001,United Kingdom,overview,2020-06-14,4908
K02000001,United Kingdom,overview,2020-06-13,4941
K02000001,United Kingdom,overview,2020-06-12,5090
K02000001,United Kingdom,overview,2020-06-11,5180
K02000001,United Kingdom,overview,2020-06-10,5476
K02000001,United Kingdom,overview,2020-06-09,5737
K02000001,United Kingdom,overview,2020-06-08,5931
K02000001,United Kingdom,overview,2020-06-07,5944
K02000001,United Kingdom,overview,2020-06-06,6149
K02000001,United Kingdom,overview,2020-06-05,6379
K02000001,United Kingdom,overview,2020-06-04,6580
K02000001,United Kingdom,overview,2020-06-03,6815
K02000001,United Kingdom,overview,2020-06-02,7087
