areaCode,areaName,areaType,date,newPillarOneTestsByPublishDate
K02000001,United Kingdom,overview,2020-07-02,46473
K02000001,United Kingdom,overview,2020-07-01,49258
K02000001,United Kingdom,overview,2020-06-30,47474
K02000001,United Kingdom,overview,2020-06-29,39169
K02000001,United Kingdom,overview,2020-06-28,30656
K02000001,United Kingdom,overview,2020-06-27,40854
K02000001,United Kingdom,overview,2020-06-26,43839
K02000001,United Kingdom,overview,2020-06-25,42153
K02000001,United Kingdom,overview,2020-06-24,43620
K02000001,United Kingdom,overview,2020-06-23,45784
K02000001,United Kingdom,overview,2020-06-22,36984
K02000001,United Kingdom,overview,2020-06-21,29457
K02000001,United Kingdom,overview,2020-06-20,36118
K02000001,United Kingdom,overview,2020-06-19,40640
K02000001,United Kingdom,overview,2020-06-18,41620
K02000001,United Kingdom,overview,2020-06-17,43035
K02000001,United Kingdom,overview,2020-06-16,42540
K02000001,United Kingdom,overview,2020-06-15,35711
K02000001,United Kingdom,overview,2020-06-14,30700
K02000001,United Kingdom,overview,2020-06-13,37983
K02000001,United Kingdom,overview,2020-06-12,40426
K02000001,United Kingdom,overview,2020-06-11,40058
K02000001,United Kingdom,overview,2020-06-10,43200
K02000001,United Kingdom,overview,2020-06-09,43052
K02000001,United Kingdom,overview,2020-06-08,32206
K02000001,United Kingdom,overview,2020-06-07,30792
K02000001,United Kingdom,overview,2020-06-06,35636
K02000001,United Kingdom,overview,2020-06-05,37693
K02000001,United Kingdom,overview,2020-06-04,39593
K02000001,United Kingdom,overview,2020-06-03,39735
K02000001,United Kingdom,overview,2020-06-02,38163
K02000001,United Kingdom,overview,2020-06-01,29998
K02000001,United Kingdom,overview,2020-05-31,27520
K02000001,United Kingdom,overview,2020-05-30,31755
K02000001,United Kingdom,overview,2020-05-29,37085
K02000001,United Kingdom,overview,2020-05-28,37933
K02000001,United Kingdom,overview,2020-05-27,35670
K02000001,United Kingdom,overview,2020-05-26,29708
K02000001,United Kingdom,overview,2020-05-25,26780
K02000001,United Kingdom,overview,2020-05-24,27475
K02000001,United Kingdom,overview,2020-05-23,32230
K02000001,United Kingdom,overview,2020-05-22,35915
K02000001,United Kingdom,overview,2020-05-21,37728
K02000001,United Kingdom,overview,2020-05-20,38296
K02000001,United Kingdom,overview,2020-05-19,35196
K02000001,United Kingdom,overview,2020-05-18,28835
K02000001,United Kingdom,overview,2020-05-17,24746
K02000001,United Kingdom,overview,2020-05-16,31549
K02000001,United Kingdom,overview,2020-05-15,37324
K02000001,United Kingdom,overview,2020-05-14,32207
K02000001,United Kingdom,overview,2020-05-13,31828
K02000001,United Kingdom,overview,2020-05-12,32077
K02000001,United Kingdom,overview,2020-05-11,25462
K02000001,United Kingdom,overview,2020-05-10,26327
K02000001,United Kingdom,overview,2020-05-09,28412
K02000001,United Kingdom,overview,2020-05-08,32492
K02000001,United Kingdom,overview,2020-05-07,33588
K02000001,United Kingdom,overview,2020-05-06,32667
K02000001,United Kingdom,overview,2020-05-05,32350
K02000001,United Kingdom,overview,2020-05-04,26866
K02000001,United Kingdom,overview,2020-05-03,25867
K02000001,United Kingdom,overview,2020-05-02,28052
K02000001,United Kingdom,overview,2020-05-01,39095
K02000001,United Kingdom,overview,2020-04-30,39753
K02000001,United Kingdom,overview,2020-04-29,32150
K02000001,United Kingdom,overview,2020-04-28,23648
K02000001,United Kingdom,overview,2020-04-27,16440
K02000001,United Kingdom,overview,2020-04-26,17968
K02000001,United Kingdom,overview,2020-04-25,17939
K02000001,United Kingdom,overview,2020-04-24,21981
K02000001,United Kingdom,overview,2020-04-23,20365
K02000001,United Kingdom,overview,2020-04-22,20088
K02000001,United Kingdom,overview,2020-04-21,20063
K02000001,United Kingdom,overview,2020-04-20,14908
K02000001,United Kingdom,overview,2020-04-19,13460
K02000001,United Kingdom,overview,2020-04-18,16460
K02000001,United Kingdom,overview,2020-04-17,17308
K02000001,United Kingdom,overview,2020-04-16,17763
K02000001,United Kingdom,overview,2020-04-15,16166
K02000001,United Kingdom,overview,2020-04-14,13950
K02000001,United Kingdom,overview,2020-04-13,12081
K02000001,United Kingdom,overview,2020-04-12,12017
K02000001,United Kingdom,overview,2020-04-11,15020
K02000001,United Kingdom,overview,2020-04-10,15892
K02000001,United Kingdom,overview,2020-04-09,17188
K02000001,United Kingdom,overview,2020-04-08,15194
K02000001,United Kingdom,overview,2020-04-07,13266
K02000001,United Kingdom,overview,2020-04-06,12858
K02000001,United Kingdom,overview,2020-04-05,11663
K02000001,United Kingdom,overview,2020-04-04,15103
K02000001,United Kingdom,overview,2020-04-03,13616
K02000001,United Kingdom,overview,2020-04-02,12854
K02000001,United Kingdom,overview,2020-04-01,11256
K02000001,United Kingdom,overview,2020-03-31,11267
