areaCode,areaName,areaType,date,newTestsByPublishDate
K02000001,United Kingdom,overview,2020-05-26,78099
K02000001,United Kingdom,overview,2020-05-25,78478
K02000001,United Kingdom,overview,2020-05-24,59633
K02000001,United Kingdom,overview,2020-05-23,92312
K02000001,United Kingdom,overview,2020-05-22,92143
K02000001,United Kingdom,overview,2020-05-21,107919
K02000001,United Kingdom,overview,2020-05-20,87819
K02000001,United Kingdom,overview,2020-05-19,88126
K02000001,United Kingdom,overview,2020-05-18,72532
K02000001,United Kingdom,overview,2020-05-17,82141
K02000001,United Kingdom,overview,2020-05-16,93353
K02000001,United Kingdom,overview,2020-05-15,93934
K02000001,United Kingdom,overview,2020-05-14,85166
K02000001,United Kingdom,overview,2020-05-13,83472
K02000001,United Kingdom,overview,2020-05-12,74859
K02000001,United Kingdom,overview,2020-05-11,70360
K02000001,United Kingdom,overview,2020-05-10,76942
K02000001,United Kingdom,overview,2020-05-09,77202
K02000001,United Kingdom,overview,2020-05-08,77892
K02000001,United Kingdom,overview,2020-05-07,78912
K02000001,United Kingdom,overview,2020-05-06,74761
K02000001,United Kingdom,overview,2020-05-05,67444
K02000001,United Kingdom,overview,2020-05-04,73068
K02000001,United Kingdom,overview,2020-05-03,68817
K02000001,United Kingdom,overview,2020-05-02,63559
K02000001,United Kingdom,overview,2020-05-01,74893
K02000001,United Kingdom,overview,2020-04-30,84215
K02000001,United Kingdom,overview,2020-04-29,66793
K02000001,United Kingdom,overview,2020-04-28,45505
K02000001,United Kingdom,overview,2020-04-27,33287
K02000001,United Kingdom,overview,2020-04-26,31610
K02000001,United Kingdom,overview,2020-04-25,29058
K02000001,United Kingdom,overview,2020-04-24,28760
K02000001,United Kingdom,overview,2020-04-23,28532
K02000001,United Kingdom,overview,2020-04-22,23560
K02000001,United Kingdom,overview,2020-04-21,22814
K02000001,United Kingdom,overview,2020-04-20,17970
K02000001,United Kingdom,overview,2020-04-19,19316
K02000001,United Kingdom,overview,2020-04-18,21626
K02000001,United Kingdom,overview,2020-04-17,21389
K02000001,United Kingdom,overview,2020-04-16,21328
