areaCode,areaName,areaType,date,capacityPillarThree
K02000001,United Kingdom,overview,2020-06-28,80000
K02000001,United Kingdom,overview,2020-06-27,80000
K02000001,United Kingdom,overview,2020-06-26,80000
K02000001,United Kingdom,overview,2020-06-25,80000
K02000001,United Kingdom,overview,2020-06-24,80000
K02000001,United Kingdom,overview,2020-06-23,80000
K02000001,United Kingdom,overview,2020-06-22,80000
K02000001,United Kingdom,overview,2020-06-21,80000
K02000001,United Kingdom,overview,2020-06-20,80000
K02000001,United Kingdom,overview,2020-06-19,80000
K02000001,United Kingdom,overview,2020-06-18,80000
K02000001,United Kingdom,overview,2020-06-17,80000
K02000001,United Kingdom,overview,2020-06-16,80000
K02000001,United Kingdom,overview,2020-06-15,80000
K02000001,United Kingdom,overview,2020-06-14,40000
K02000001,United Kingdom,overview,2020-06-13,40000
K02000001,United Kingdom,overview,2020-06-12,40000
K02000001,United Kingdom,overview,2020-06-11,40000
K02000001,United Kingdom,overview,2020-06-10,40000
K02000001,United Kingdom,overview,2020-06-09,40000
K02000001,United Kingdom,overview,2020-06-08,40000
K02000001,United Kingdom,overview,2020-06-07,40000
K02000001,United Kingdom,overview,2020-06-06,40000
K02000001,United Kingdom,overview,2020-06-05,40000
K02000001,United Kingdom,overview,2020-06-04,40000
K02000001,United Kingdom,overview,2020-06-03,40000
K02000001,United Kingdom,overview,2020-06-02,40000
K02000001,United Kingdom,overview,2020-06-01,40000
K02000001,United Kingdom,overview,2020-05-31,40000
K02000001,United Kingdom,overview,2020-05-30,40000
K02000001,United Kingdom,overview,2020-05-29,40000
