areaCode,areaName,areaType,date,plannedAntibodyCapacityByPublishDate
K02000001,United Kingdom,overview,2020-06-21,81280
K02000001,United Kingdom,overview,2020-06-20,81280
K02000001,United Kingdom,overview,2020-06-19,81280
K02000001,United Kingdom,overview,2020-06-18,81280
K02000001,United Kingdom,overview,2020-06-17,81280
K02000001,United Kingdom,overview,2020-06-16,81280
K02000001,United Kingdom,overview,2020-06-15,81280
K02000001,United Kingdom,overview,2020-06-14,41280
K02000001,United Kingdom,overview,2020-06-13,41280
K02000001,United Kingdom,overview,2020-06-12,41280
K02000001,United Kingdom,overview,2020-06-11,41280
K02000001,United Kingdom,overview,2020-06-10,42000
K02000001,United Kingdom,overview,2020-06-09,42000
K02000001,United Kingdom,overview,2020-06-08,41000
K02000001,United Kingdom,overview,2020-06-07,41000
K02000001,United Kingdom,overview,2020-06-06,41000
K02000001,United Kingdom,overview,2020-06-05,41000
K02000001,United Kingdom,overview,2020-06-04,41000
K02000001,United Kingdom,overview,2020-06-03,41000
K02000001,United Kingdom,overview,2020-06-02,41000
K02000001,United Kingdom,overview,2020-06-01,41000
K02000001,United Kingdom,overview,2020-05-31,41000
K02000001,United Kingdom,overview,2020-05-30,41000
K02000001,United Kingdom,overview,2020-05-29,41000
K02000001,United Kingdom,overview,2020-05-28,1000
K02000001,United Kingdom,overview,2020-05-27,1000
K02000001,United Kingdom,overview,2020-05-26,1050
K02000001,United Kingdom,overview,2020-05-25,1050
K02000001,United Kingdom,overview,2020-05-24,1050
K02000001,United Kingdom,overview,2020-05-23,1050
K02000001,United Kingdom,overview,2020-05-22,1050
K02000001,United Kingdom,overview,2020-05-21,1050
K02000001,United Kingdom,overview,2020-05-20,1100
K02000001,United Kingdom,overview,2020-05-19,1100
K02000001,United Kingdom,overview,2020-05-18,1100
K02000001,United Kingdom,overview,2020-05-17,1000
K02000001,United Kingdom,overview,2020-05-16,1000
K02000001,United Kingdom,overview,2020-05-15,1000
K02000001,United Kingdom,overview,2020-05-14,1000
K02000001,United Kingdom,overview,2020-05-13,1000
K02000001,United Kingdom,overview,2020-05-12,1000
K02000001,United Kingdom,overview,2020-05-11,1000
K02000001,United Kingdom,overview,2020-05-10,1000
K02000001,United Kingdom,overview,2020-05-09,1000
K02000001,United Kingdom,overview,2020-05-08,1000
K02000001,United Kingdom,overview,2020-05-07,1000
K02000001,United Kingdom,overview,2020-05-06,1000
K02000001,United Kingdom,overview,2020-05-05,1000
K02000001,United Kingdom,overview,2020-05-04,1000
K02000001,United Kingdom,overview,2020-05-03,1000
K02000001,United Kingdom,overview,2020-05-02,1000
K02000001,United Kingdom,overview,2020-05-01,1000
K02000001,United Kingdom,overview,2020-04-30,700
K02000001,United Kingdom,overview,2020-04-29,700
K02000001,United Kingdom,overview,2020-04-28,700
K02000001,United Kingdom,overview,2020-04-27,700
K02000001,United Kingdom,overview,2020-04-26,500
K02000001,United Kingdom,overview,2020-04-25,500
K02000001,United Kingdom,overview,2020-04-24,500
K02000001,United Kingdom,overview,2020-04-23,500
K02000001,United Kingdom,overview,2020-04-22,500
K02000001,United Kingdom,overview,2020-04-21,500
K02000001,United Kingdom,overview,2020-04-20,500
K02000001,United Kingdom,overview,2020-04-19,500
K02000001,United Kingdom,overview,2020-04-18,500
K02000001,United Kingdom,overview,2020-04-17,500
K02000001,United Kingdom,overview,2020-04-16,500
K02000001,United Kingdom,overview,2020-04-15,500
K02000001,United Kingdom,overview,2020-04-14,500
K02000001,United Kingdom,overview,2020-04-13,500
K02000001,United Kingdom,overview,2020-04-12,500
K02000001,United Kingdom,overview,2020-04-11,500
K02000001,United Kingdom,overview,2020-04-10,500
K02000001,United Kingdom,overview,2020-04-09,500
