areaCode,areaName,areaType,date,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2020-07-30,17
K02000001,United Kingdom,overview,2020-07-29,28
K02000001,United Kingdom,overview,2020-07-28,26
K02000001,United Kingdom,overview,2020-07-27,18
K02000001,United Kingdom,overview,2020-07-26,32
K02000001,United Kingdom,overview,2020-07-25,23
K02000001,United Kingdom,overview,2020-07-24,19
K02000001,United Kingdom,overview,2020-07-23,36
K02000001,United Kingdom,overview,2020-07-22,34
K02000001,United Kingdom,overview,2020-07-21,31
K02000001,United Kingdom,overview,2020-07-20,31
K02000001,United Kingdom,overview,2020-07-19,24
K02000001,United Kingdom,overview,2020-07-18,31
K02000001,United Kingdom,overview,2020-07-17,34
K02000001,United Kingdom,overview,2020-07-16,21
K02000001,United Kingdom,overview,2020-07-15,41
K02000001,United Kingdom,overview,2020-07-14,42
K02000001,United Kingdom,overview,2020-07-13,45
K02000001,United Kingdom,overview,2020-07-12,32
K02000001,United Kingdom,overview,2020-07-11,38
K02000001,United Kingdom,overview,2020-07-10,44
K02000001,United Kingdom,overview,2020-07-09,61
K02000001,United Kingdom,overview,2020-07-08,47
K02000001,United Kingdom,overview,2020-07-07,43
K02000001,United Kingdom,overview,2020-07-06,54
K02000001,United Kingdom,overview,2020-07-05,52
K02000001,United Kingdom,overview,2020-07-04,52
K02000001,United Kingdom,overview,2020-07-03,48
K02000001,United Kingdom,overview,2020-07-02,61
K02000001,United Kingdom,overview,2020-07-01,54
K02000001,United Kingdom,overview,2020-06-30,81
K02000001,United Kingdom,overview,2020-06-29,69
K02000001,United Kingdom,overview,2020-06-28,71
K02000001,United Kingdom,overview,2020-06-27,73
K02000001,United Kingdom,overview,2020-06-26,79
K02000001,United Kingdom,overview,2020-06-25,108
K02000001,United Kingdom,overview,2020-06-24,101
K02000001,United Kingdom,overview,2020-06-23,97
K02000001,United Kingdom,overview,2020-06-22,83
K02000001,United Kingdom,overview,2020-06-21,80
K02000001,United Kingdom,overview,2020-06-20,87
K02000001,United Kingdom,overview,2020-06-19,88
K02000001,United Kingdom,overview,2020-06-18,90
K02000001,United Kingdom,overview,2020-06-17,105
