areaCode,areaName,areaType,date,newVirusTests
K02000001,United Kingdom,overview,2020-11-01,270473
K02000001,United Kingdom,overview,2020-10-31,292573
K02000001,United Kingdom,overview,2020-10-30,305207
K02000001,United Kingdom,overview,2020-10-29,347632
K02000001,United Kingdom,overview,2020-10-28,308810
K02000001,United Kingdom,overview,2020-10-27,280997
K02000001,United Kingdom,overview,2020-10-26,261861
K02000001,United Kingdom,overview,2020-10-25,321114
K02000001,United Kingdom,overview,2020-10-24,317896
K02000001,United Kingdom,overview,2020-10-23,346682
K02000001,United Kingdom,overview,2020-10-22,340137
K02000001,United Kingdom,overview,2020-10-21,310331
K02000001,United Kingdom,overview,2020-10-20,279996
K02000001,United Kingdom,overview,2020-10-19,260338
K02000001,United Kingdom,overview,2020-10-18,306893
K02000001,United Kingdom,overview,2020-10-17,308416
K02000001,United Kingdom,overview,2020-10-16,312178
K02000001,United Kingdom,overview,2020-10-15,304315
K02000001,United Kingdom,overview,2020-10-14,295690
K02000001,United Kingdom,overview,2020-10-13,264713
K02000001,United Kingdom,overview,2020-10-12,219074
K02000001,United Kingdom,overview,2020-10-11,258955
K02000001,United Kingdom,overview,2020-10-10,279606
K02000001,United Kingdom,overview,2020-10-09,296559
K02000001,United Kingdom,overview,2020-10-08,285015
K02000001,United Kingdom,overview,2020-10-07,254579
K02000001,United Kingdom,overview,2020-10-06,261336
K02000001,United Kingdom,overview,2020-10-05,273100
K02000001,United Kingdom,overview,2020-10-04,250348
K02000001,United Kingdom,overview,2020-10-03,286802
K02000001,United Kingdom,overview,2020-10-02,269820
K02000001,United Kingdom,overview,2020-10-01,264979
K02000001,United Kingdom,overview,2020-09-30,255915
K02000001,United Kingdom,overview,2020-09-29,232212
K02000001,United Kingdom,overview,2020-09-28,227038
K02000001,United Kingdom,overview,2020-09-27,263526
K02000001,United Kingdom,overview,2020-09-26,255488
K02000001,United Kingdom,overview,2020-09-25,288701
K02000001,United Kingdom,overview,2020-09-24,262109
K02000001,United Kingdom,overview,2020-09-23,259221
K02000001,United Kingdom,overview,2020-09-22,234815
K02000001,United Kingdom,overview,2020-09-21,206782
K02000001,United Kingdom,overview,2020-09-20,234786
K02000001,United Kingdom,overview,2020-09-19,250954
K02000001,United Kingdom,overview,2020-09-18,266308
K02000001,United Kingdom,overview,2020-09-17,240202
K02000001,United Kingdom,overview,2020-09-16,242273
K02000001,United Kingdom,overview,2020-09-15,236827
K02000001,United Kingdom,overview,2020-09-14,216526
K02000001,United Kingdom,overview,2020-09-13,225380
K02000001,United Kingdom,overview,2020-09-12,228748
K02000001,United Kingdom,overview,2020-09-11,241650
K02000001,United Kingdom,overview,2020-09-10,233125
K02000001,United Kingdom,overview,2020-09-09,220626
K02000001,United Kingdom,overview,2020-09-08,202809
K02000001,United Kingdom,overview,2020-09-07,201965
K02000001,United Kingdom,overview,2020-09-06,192892
K02000001,United Kingdom,overview,2020-09-05,189054
K02000001,United Kingdom,overview,2020-09-04,202893
K02000001,United Kingdom,overview,2020-09-03,198603
K02000001,United Kingdom,overview,2020-09-02,196734
K02000001,United Kingdom,overview,2020-09-01,171339
K02000001,United Kingdom,overview,2020-08-31,180368
K02000001,United Kingdom,overview,2020-08-30,181038
K02000001,United Kingdom,overview,2020-08-29,180033
K02000001,United Kingdom,overview,2020-08-28,188974
K02000001,United Kingdom,overview,2020-08-27,194522
K02000001,United Kingdom,overview,2020-08-26,206143
K02000001,United Kingdom,overview,2020-08-25,179602
K02000001,United Kingdom,overview,2020-08-24,147940
K02000001,United Kingdom,overview,2020-08-23,165455
K02000001,United Kingdom,overview,2020-08-22,177279
K02000001,United Kingdom,overview,2020-08-21,181878
K02000001,United Kingdom,overview,2020-08-20,174250
K02000001,United Kingdom,overview,2020-08-19,181358
K02000001,United Kingdom,overview,2020-08-18,157194
