areaCode,areaName,areaType,date,newPillarTwoTestsByPublishDate
K02000001,United Kingdom,overview,2020-09-01,114598
K02000001,United Kingdom,overview,2020-08-31,119287
K02000001,United Kingdom,overview,2020-08-30,125788
K02000001,United Kingdom,overview,2020-08-29,126213
K02000001,United Kingdom,overview,2020-08-28,115417
K02000001,United Kingdom,overview,2020-08-27,123367
K02000001,United Kingdom,overview,2020-08-26,125818
K02000001,United Kingdom,overview,2020-08-25,103799
K02000001,United Kingdom,overview,2020-08-24,93317
K02000001,United Kingdom,overview,2020-08-23,114721
K02000001,United Kingdom,overview,2020-08-22,121555
K02000001,United Kingdom,overview,2020-08-21,124274
K02000001,United Kingdom,overview,2020-08-20,115266
K02000001,United Kingdom,overview,2020-08-19,116290
K02000001,United Kingdom,overview,2020-08-18,93798
K02000001,United Kingdom,overview,2020-08-17,95888
K02000001,United Kingdom,overview,2020-08-16,120040
K02000001,United Kingdom,overview,2020-08-15,122681
K02000001,United Kingdom,overview,2020-08-14,113927
K02000001,United Kingdom,overview,2020-08-13,104989
K02000001,United Kingdom,overview,2020-08-12,109281
K02000001,United Kingdom,overview,2020-08-11,90779
K02000001,United Kingdom,overview,2020-08-10,90844
K02000001,United Kingdom,overview,2020-08-09,109488
K02000001,United Kingdom,overview,2020-08-08,97482
K02000001,United Kingdom,overview,2020-08-07,102046
K02000001,United Kingdom,overview,2020-08-06,103600
K02000001,United Kingdom,overview,2020-08-05,93177
K02000001,United Kingdom,overview,2020-08-04,84014
K02000001,United Kingdom,overview,2020-08-03,78430
K02000001,United Kingdom,overview,2020-08-02,79526
K02000001,United Kingdom,overview,2020-08-01,84770
K02000001,United Kingdom,overview,2020-07-31,95882
K02000001,United Kingdom,overview,2020-07-30,99669
K02000001,United Kingdom,overview,2020-07-29,88122
K02000001,United Kingdom,overview,2020-07-28,75515
K02000001,United Kingdom,overview,2020-07-27,38863
K02000001,United Kingdom,overview,2020-07-26,63572
K02000001,United Kingdom,overview,2020-07-25,88032
K02000001,United Kingdom,overview,2020-07-24,92297
K02000001,United Kingdom,overview,2020-07-23,83164
K02000001,United Kingdom,overview,2020-07-22,77027
K02000001,United Kingdom,overview,2020-07-21,69214
K02000001,United Kingdom,overview,2020-07-20,40863
K02000001,United Kingdom,overview,2020-07-19,62825
K02000001,United Kingdom,overview,2020-07-18,89139
K02000001,United Kingdom,overview,2020-07-17,107813
K02000001,United Kingdom,overview,2020-07-16,98781
K02000001,United Kingdom,overview,2020-07-15,75826
K02000001,United Kingdom,overview,2020-07-14,58675
K02000001,United Kingdom,overview,2020-07-13,33420
K02000001,United Kingdom,overview,2020-07-12,51679
K02000001,United Kingdom,overview,2020-07-11,78071
K02000001,United Kingdom,overview,2020-07-10,80867
K02000001,United Kingdom,overview,2020-07-09,84422
K02000001,United Kingdom,overview,2020-07-08,69291
K02000001,United Kingdom,overview,2020-07-07,51370
K02000001,United Kingdom,overview,2020-07-06,23212
K02000001,United Kingdom,overview,2020-07-05,39382
K02000001,United Kingdom,overview,2020-07-04,52707
K02000001,United Kingdom,overview,2020-07-03,67360
K02000001,United Kingdom,overview,2020-07-02,65657
K02000001,United Kingdom,overview,2020-07-01,63378
K02000001,United Kingdom,overview,2020-06-30,49893
K02000001,United Kingdom,overview,2020-06-29,23403
K02000001,United Kingdom,overview,2020-06-28,33797
K02000001,United Kingdom,overview,2020-06-27,50043
K02000001,United Kingdom,overview,2020-06-26,49553
K02000001,United Kingdom,overview,2020-06-25,51020
K02000001,United Kingdom,overview,2020-06-24,44420
K02000001,United Kingdom,overview,2020-06-23,20972
K02000001,United Kingdom,overview,2020-06-22,22958
K02000001,United Kingdom,overview,2020-06-21,27645
K02000001,United Kingdom,overview,2020-06-20,44446
K02000001,United Kingdom,overview,2020-06-19,46551
K02000001,United Kingdom,overview,2020-06-18,44959
K02000001,United Kingdom,overview,2020-06-17,40829
K02000001,United Kingdom,overview,2020-06-16,36422
K02000001,United Kingdom,overview,2020-06-15,32097
K02000001,United Kingdom,overview,2020-06-14,35988
K02000001,United Kingdom,overview,2020-06-13,58061
K02000001,United Kingdom,overview,2020-06-12,54790
K02000001,United Kingdom,overview,2020-06-11,58855
K02000001,United Kingdom,overview,2020-06-10,54652
K02000001,United Kingdom,overview,2020-06-09,48554
K02000001,United Kingdom,overview,2020-06-08,34563
K02000001,United Kingdom,overview,2020-06-07,52998
K02000001,United Kingdom,overview,2020-06-06,54926
K02000001,United Kingdom,overview,2020-06-05,60974
K02000001,United Kingdom,overview,2020-06-04,55852
K02000001,United Kingdom,overview,2020-06-03,56939
K02000001,United Kingdom,overview,2020-06-02,48104
K02000001,United Kingdom,overview,2020-06-01,34765
K02000001,United Kingdom,overview,2020-05-31,47743
K02000001,United Kingdom,overview,2020-05-30,58112
K02000001,United Kingdom,overview,2020-05-29,58465
K02000001,United Kingdom,overview,2020-05-28,46701
K02000001,United Kingdom,overview,2020-05-27,34659
K02000001,United Kingdom,overview,2020-05-26,34057
K02000001,United Kingdom,overview,2020-05-25,42601
K02000001,United Kingdom,overview,2020-05-24,24369
K02000001,United Kingdom,overview,2020-05-23,47672
K02000001,United Kingdom,overview,2020-05-22,48145
K02000001,United Kingdom,overview,2020-05-21,55670
K02000001,United Kingdom,overview,2020-05-20,43107
K02000001,United Kingdom,overview,2020-05-19,44457
K02000001,United Kingdom,overview,2020-05-18,34193
K02000001,United Kingdom,overview,2020-05-17,50544
K02000001,United Kingdom,overview,2020-05-16,56713
K02000001,United Kingdom,overview,2020-05-15,50722
K02000001,United Kingdom,overview,2020-05-14,49388
K02000001,United Kingdom,overview,2020-05-13,48885
K02000001,United Kingdom,overview,2020-05-12,40291
K02000001,United Kingdom,overview,2020-05-11,41654
K02000001,United Kingdom,overview,2020-05-10,47214
K02000001,United Kingdom,overview,2020-05-09,46174
K02000001,United Kingdom,overview,2020-05-08,42344
K02000001,United Kingdom,overview,2020-05-07,43153
K02000001,United Kingdom,overview,2020-05-06,40610
K02000001,United Kingdom,overview,2020-05-05,33453
K02000001,United Kingdom,overview,2020-05-04,44898
K02000001,United Kingdom,overview,2020-05-03,42336
K02000001,United Kingdom,overview,2020-05-02,35507
K02000001,United Kingdom,overview,2020-05-01,35047
K02000001,United Kingdom,overview,2020-04-30,43390
K02000001,United Kingdom,overview,2020-04-29,33493
K02000001,United Kingdom,overview,2020-04-28,21615
K02000001,United Kingdom,overview,2020-04-27,15013
K02000001,United Kingdom,overview,2020-04-26,13642
K02000001,United Kingdom,overview,2020-04-25,11119
K02000001,United Kingdom,overview,2020-04-24,6244
K02000001,United Kingdom,overview,2020-04-23,7659
K02000001,United Kingdom,overview,2020-04-22,2985
K02000001,United Kingdom,overview,2020-04-21,2700
K02000001,United Kingdom,overview,2020-04-20,2457
K02000001,United Kingdom,overview,2020-04-19,5856
K02000001,United Kingdom,overview,2020-04-18,4789
K02000001,United Kingdom,overview,2020-04-17,3773
K02000001,United Kingdom,overview,2020-04-16,3143
K02000001,United Kingdom,overview,2020-04-15,2323
K02000001,United Kingdom,overview,2020-04-14,2041
K02000001,United Kingdom,overview,2020-04-13,2486
K02000001,United Kingdom,overview,2020-04-12,2489
K02000001,United Kingdom,overview,2020-04-11,2630
K02000001,United Kingdom,overview,2020-04-10,1845
K02000001,United Kingdom,overview,2020-04-09,1655
K02000001,United Kingdom,overview,2020-04-08,1249
K02000001,United Kingdom,overview,2020-04-07,1153
K02000001,United Kingdom,overview,2020-04-06,826
K02000001,United Kingdom,overview,2020-04-05,1070
K02000001,United Kingdom,overview,2020-04-04,796
K02000001,United Kingdom,overview,2020-04-03,677
K02000001,United Kingdom,overview,2020-04-02,603
K02000001,United Kingdom,overview,2020-04-01,668
K02000001,United Kingdom,overview,2020-03-31,629
