areaCode,areaName,areaType,date,capacityPillarFour
K02000001,United Kingdom,overview,2020-09-18,1100
K02000001,United Kingdom,overview,2020-09-17,1100
K02000001,United Kingdom,overview,2020-09-16,1100
K02000001,United Kingdom,overview,2020-09-15,1100
K02000001,United Kingdom,overview,2020-09-14,11100
K02000001,United Kingdom,overview,2020-09-13,1100
K02000001,United Kingdom,overview,2020-09-12,1100
K02000001,United Kingdom,overview,2020-09-11,1200
K02000001,United Kingdom,overview,2020-09-10,2100
K02000001,United Kingdom,overview,2020-09-09,11100
K02000001,United Kingdom,overview,2020-09-08,1100
K02000001,United Kingdom,overview,2020-09-07,11100
K02000001,United Kingdom,overview,2020-09-06,11100
K02000001,United Kingdom,overview,2020-09-05,11100
K02000001,United Kingdom,overview,2020-09-04,11100
K02000001,United Kingdom,overview,2020-09-03,13600
K02000001,United Kingdom,overview,2020-09-02,13600
K02000001,United Kingdom,overview,2020-09-01,11100
K02000001,United Kingdom,overview,2020-08-31,11100
K02000001,United Kingdom,overview,2020-08-30,11100
K02000001,United Kingdom,overview,2020-08-29,11100
K02000001,United Kingdom,overview,2020-08-28,11100
K02000001,United Kingdom,overview,2020-08-27,13600
K02000001,United Kingdom,overview,2020-08-26,13600
K02000001,United Kingdom,overview,2020-08-25,11100
K02000001,United Kingdom,overview,2020-08-24,11100
K02000001,United Kingdom,overview,2020-08-23,11100
K02000001,United Kingdom,overview,2020-08-22,1100
K02000001,United Kingdom,overview,2020-08-21,1100
K02000001,United Kingdom,overview,2020-08-20,3600
K02000001,United Kingdom,overview,2020-08-19,3600
K02000001,United Kingdom,overview,2020-08-18,1100
K02000001,United Kingdom,overview,2020-08-17,1100
K02000001,United Kingdom,overview,2020-08-16,1100
K02000001,United Kingdom,overview,2020-08-15,1100
K02000001,United Kingdom,overview,2020-08-14,1100
K02000001,United Kingdom,overview,2020-08-13,3600
K02000001,United Kingdom,overview,2020-08-12,3600
K02000001,United Kingdom,overview,2020-08-11,1100
K02000001,United Kingdom,overview,2020-08-10,7100
K02000001,United Kingdom,overview,2020-08-09,10100
K02000001,United Kingdom,overview,2020-08-08,10100
K02000001,United Kingdom,overview,2020-08-07,10100
K02000001,United Kingdom,overview,2020-08-06,12600
K02000001,United Kingdom,overview,2020-08-05,12600
K02000001,United Kingdom,overview,2020-08-04,10100
K02000001,United Kingdom,overview,2020-08-03,10100
K02000001,United Kingdom,overview,2020-08-02,10100
K02000001,United Kingdom,overview,2020-08-01,10100
K02000001,United Kingdom,overview,2020-07-31,10100
K02000001,United Kingdom,overview,2020-07-30,12600
K02000001,United Kingdom,overview,2020-07-29,12600
K02000001,United Kingdom,overview,2020-07-28,10100
K02000001,United Kingdom,overview,2020-07-27,10100
K02000001,United Kingdom,overview,2020-07-26,10100
K02000001,United Kingdom,overview,2020-07-25,10100
K02000001,United Kingdom,overview,2020-07-24,1100
K02000001,United Kingdom,overview,2020-07-23,3600
K02000001,United Kingdom,overview,2020-07-22,3600
K02000001,United Kingdom,overview,2020-07-21,1100
K02000001,United Kingdom,overview,2020-07-20,1100
K02000001,United Kingdom,overview,2020-07-19,1100
K02000001,United Kingdom,overview,2020-07-18,1100
K02000001,United Kingdom,overview,2020-07-17,1100
K02000001,United Kingdom,overview,2020-07-16,3600
K02000001,United Kingdom,overview,2020-07-15,8600
K02000001,United Kingdom,overview,2020-07-14,6100
K02000001,United Kingdom,overview,2020-07-13,6100
K02000001,United Kingdom,overview,2020-07-12,6100
K02000001,United Kingdom,overview,2020-07-11,7520
K02000001,United Kingdom,overview,2020-07-10,17520
K02000001,United Kingdom,overview,2020-07-09,20020
K02000001,United Kingdom,overview,2020-07-08,20020
K02000001,United Kingdom,overview,2020-07-07,17520
K02000001,United Kingdom,overview,2020-07-06,16520
K02000001,United Kingdom,overview,2020-07-05,11520
K02000001,United Kingdom,overview,2020-07-04,11520
K02000001,United Kingdom,overview,2020-07-03,11520
K02000001,United Kingdom,overview,2020-07-02,14020
K02000001,United Kingdom,overview,2020-07-01,14020
K02000001,United Kingdom,overview,2020-06-30,11520
K02000001,United Kingdom,overview,2020-06-29,11520
K02000001,United Kingdom,overview,2020-06-28,11420
K02000001,United Kingdom,overview,2020-06-27,11420
K02000001,United Kingdom,overview,2020-06-26,11420
K02000001,United Kingdom,overview,2020-06-25,11420
K02000001,United Kingdom,overview,2020-06-24,13920
K02000001,United Kingdom,overview,2020-06-23,13920
K02000001,United Kingdom,overview,2020-06-22,11420
K02000001,United Kingdom,overview,2020-06-21,1420
K02000001,United Kingdom,overview,2020-06-20,1420
K02000001,United Kingdom,overview,2020-06-19,1420
K02000001,United Kingdom,overview,2020-06-18,1420
K02000001,United Kingdom,overview,2020-06-17,1420
K02000001,United Kingdom,overview,2020-06-16,1420
K02000001,United Kingdom,overview,2020-06-15,1420
K02000001,United Kingdom,overview,2020-06-14,1420
K02000001,United Kingdom,overview,2020-06-13,1420
K02000001,United Kingdom,overview,2020-06-12,1420
K02000001,United Kingdom,overview,2020-06-11,1420
K02000001,United Kingdom,overview,2020-06-10,2000
K02000001,United Kingdom,overview,2020-06-09,2000
K02000001,United Kingdom,overview,2020-06-08,1000
K02000001,United Kingdom,overview,2020-06-07,1000
K02000001,United Kingdom,overview,2020-06-06,1000
K02000001,United Kingdom,overview,2020-06-05,1000
K02000001,United Kingdom,overview,2020-06-04,1000
K02000001,United Kingdom,overview,2020-06-03,1000
K02000001,United Kingdom,overview,2020-06-02,1000
K02000001,United Kingdom,overview,2020-06-01,1000
K02000001,United Kingdom,overview,2020-05-31,1000
K02000001,United Kingdom,overview,2020-05-30,1000
K02000001,United Kingdom,overview,2020-05-29,1000
K02000001,United Kingdom,overview,2020-05-28,1000
K02000001,United Kingdom,overview,2020-05-27,1000
K02000001,United Kingdom,overview,2020-05-26,1050
K02000001,United Kingdom,overview,2020-05-25,11050
